"Id","Var1","Freq"
"1",1,2154
"2",10,371
"3",11,1370
"4",12,514
"5",13,775
"6",14,849
"7",15,545
"8",16,655
"9",17,467
"10",18,366
"11",19,241
"12",2,1280
"13",20,415
"14",21,382
"15",22,402
"16",23,409
"17",24,344
"18",25,391
"19",26,355
"20",27,300
"21",28,102
"22",29,434
"23",3,1065
"24",30,187
"25",31,401
"26",32,457
"27",33,427
"28",34,342
"29",35,325
"30",36,169
"31",4,899
"32",5,638
"33",6,656
"34",7,554
"35",8,709
"36",9,1297
