"Id","facebook"
"1",0.735796130952381
"2",0.699837524563989
"3",0.712414825625763
"4",0.73825149377809
"5",0.715847431077694
"6",0.747458853376061
"7",0.721325182813524
"8",0.747222260080277
"9",0.755297380664001
"10",0.740961346986347
"11",0.37575
"12",0.72207800172276
"13",0.748976110172951
"14",0.725056425480466
"15",0.715850208604673
"16",0.737932300335827
"17",0.722462280565261
"18",0.747923856040099
"19",0.747310646289602
"20",0.762237670068027
"21",0.717446462176192
"22",0.738370533044175
"23",0.722668834735036
"24",0.728828780897197
"25",0.754087578126853
"26",0.742232916444997
"27",0.737592495862802
"28",0.735588162061721
"29",0.733124306684611
"30",0.749057701743403
"31",0.755297579741261
"32",0.740890181310267
"33",0.736162617429424
"34",0.742842196355713
"35",0.739091768652299
"36",0.760212162320537
"37",0.757039510528674
"38",0.734961598270986
"39",0.740570223094165
"40",0.743943840340068
"41",0.759265999729359
"42",0.73195805686065
"43",0.729794629633116
"44",0.719613060693408
"45",0.748614059443677
"46",0.732288037346168
"47",0.740036516027664
"48",0.749844979299185
"49",0.746228949810365
"50",0.714699177342207
"51",0.716669404046854
"52",0.749203643009073
"53",0.735246137634483
"54",0.703836395570432
"55",0.728106123447454
"56",0.740235419438095
"57",0.71507898739218
"58",0.739145275752435
"59",0.75061689052667
"60",0.727509119671617
"61",0.746589551737534
"62",0.757505839885431
"63",0.735246137634483
"64",0.757344016922487
"65",0.745507886312342
"66",0.735561384546546
"67",0.743458333333333
"68",0.736520027467411
"69",0.752685064854401
"70",0.743659274397532
"71",0.737428261143406
"72",0.713304121298138
"73",0.747910052757394
"74",0.731167288450631
"75",0.753488541096143
"76",0.755698739233084
"77",0.754688181285085
"78",0.750439959943473
"79",0.742805570232642
"80",0.755689678496921
"81",0.737811021009581
"82",0.761897323113311
"83",0.758626064396267
"84",0.729642884302706
"85",0.745298570711249
"86",0.741123042739131
"87",0.735928099961865
"88",0.745925297129559
"89",0.743257370790011
"90",0.742618624954072
"91",0.760904798487883
"92",0.745128494619052
"93",0.726353382031324
"94",0.742273819546711
"95",0.733734282889392
"96",0.735319871895718
"97",0.729128792041524
"98",0.751046571788698
"99",0.718661160684067
